planta,modelo,motivo,contagem
Solanum melongena,XGBoost,P_LOOP,49
Solanum tuberosum,XGBoost,P_LOOP,11
Physalis peruviana,XGBoost,P_LOOP,122
Solanum melongena,RF,P_LOOP,9
Solanum tuberosum,RF,P_LOOP,2
Physalis peruviana,RF,P_LOOP,31
Solanum melongena,SVM,P_LOOP,52
Solanum tuberosum,SVM,P_LOOP,9
Physalis peruviana,SVM,P_LOOP,127
Solanum melongena,XGBoost,KINASE2,79
Solanum tuberosum,XGBoost,KINASE2,5
Physalis peruviana,XGBoost,KINASE2,158
Solanum melongena,RF,KINASE2,21
Solanum tuberosum,RF,KINASE2,2
Physalis peruviana,RF,KINASE2,51
Solanum melongena,SVM,KINASE2,84
Solanum tuberosum,SVM,KINASE2,2
Physalis peruviana,SVM,KINASE2,164
Solanum melongena,XGBoost,RNBS_A,135
Solanum tuberosum,XGBoost,RNBS_A,5
Physalis peruviana,XGBoost,RNBS_A,153
Solanum melongena,RF,RNBS_A,11
Solanum tuberosum,RF,RNBS_A,1
Physalis peruviana,RF,RNBS_A,19
Solanum melongena,SVM,RNBS_A,121
Solanum tuberosum,SVM,RNBS_A,5
Physalis peruviana,SVM,RNBS_A,129
Solanum melongena,XGBoost,RNBS_B,262
Solanum tuberosum,XGBoost,RNBS_B,12
Physalis peruviana,XGBoost,RNBS_B,368
Solanum melongena,RF,RNBS_B,21
Solanum tuberosum,RF,RNBS_B,0
Physalis peruviana,RF,RNBS_B,68
Solanum melongena,SVM,RNBS_B,271
Solanum tuberosum,SVM,RNBS_B,15
Physalis peruviana,SVM,RNBS_B,358
Solanum melongena,XGBoost,RNBS_C,370
Solanum tuberosum,XGBoost,RNBS_C,11
Physalis peruviana,XGBoost,RNBS_C,401
Solanum melongena,RF,RNBS_C,17
Solanum tuberosum,RF,RNBS_C,0
Physalis peruviana,RF,RNBS_C,56
Solanum melongena,SVM,RNBS_C,406
Solanum tuberosum,SVM,RNBS_C,15
Physalis peruviana,SVM,RNBS_C,403
Solanum melongena,XGBoost,GLPL,42
Solanum tuberosum,XGBoost,GLPL,8
Physalis peruviana,XGBoost,GLPL,77
Solanum melongena,RF,GLPL,11
Solanum tuberosum,RF,GLPL,1
Physalis peruviana,RF,GLPL,28
Solanum melongena,SVM,GLPL,35
Solanum tuberosum,SVM,GLPL,8
Physalis peruviana,SVM,GLPL,75
Solanum melongena,XGBoost,RNBS_D,64
Solanum tuberosum,XGBoost,RNBS_D,10
Physalis peruviana,XGBoost,RNBS_D,136
Solanum melongena,RF,RNBS_D,13
Solanum tuberosum,RF,RNBS_D,2
Physalis peruviana,RF,RNBS_D,41
Solanum melongena,SVM,RNBS_D,61
Solanum tuberosum,SVM,RNBS_D,10
Physalis peruviana,SVM,RNBS_D,120
Solanum melongena,XGBoost,MHD,23
Solanum tuberosum,XGBoost,MHD,2
Physalis peruviana,XGBoost,MHD,50
Solanum melongena,RF,MHD,2
Solanum tuberosum,RF,MHD,1
Physalis peruviana,RF,MHD,8
Solanum melongena,SVM,MHD,29
Solanum tuberosum,SVM,MHD,2
Physalis peruviana,SVM,MHD,48
